"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Fri Aug 23 06:25:56 GMT 2024","Fri Aug 23 06:25:56 GMT 2024","150","","PetApiTest","","","","test_pet_operations[790]",""
"failed","Fri Aug 23 06:25:55 GMT 2024","Fri Aug 23 06:25:55 GMT 2024","411","","PetApiTest","","","","test_pet_operations[897]",""
"passed","Fri Aug 23 06:25:55 GMT 2024","Fri Aug 23 06:25:56 GMT 2024","348","","PetApiTest","","","","test_pet_operations[465]",""
