"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Fri Aug 23 05:25:39 GMT 2024","Fri Aug 23 05:25:40 GMT 2024","515","","PetApiTest","","","","test_pet_operations[897]",""
"failed","Fri Aug 23 05:25:40 GMT 2024","Fri Aug 23 05:25:41 GMT 2024","329","","PetApiTest","","","","test_pet_operations[790]",""
"passed","Fri Aug 23 05:25:40 GMT 2024","Fri Aug 23 05:25:40 GMT 2024","455","","PetApiTest","","","","test_pet_operations[465]",""
