"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Fri Aug 23 06:18:30 GMT 2024","Fri Aug 23 06:18:31 GMT 2024","335","","PetApiTest","","","","test_pet_operations[790]",""
"passed","Fri Aug 23 06:18:30 GMT 2024","Fri Aug 23 06:18:30 GMT 2024","650","","PetApiTest","","","","test_pet_operations[465]",""
"failed","Fri Aug 23 06:18:29 GMT 2024","Fri Aug 23 06:18:30 GMT 2024","593","","PetApiTest","","","","test_pet_operations[897]",""
